Issue Number,Issue Name,Date Opened,Issue Author,Date Closed,Closed By
40103,Unclear type/dimension dependency of <code>filters</code> in  <code>conv1d/3d_transpose</code> documentation</bdi,03-Jun-20,DNXie,Not closed,Not closed
40052,Format issue in <code>tf.ragged.constant</code> documentation</bdi,01-Jun-20,DNXie,Not closed,Not closed
40051,<code>tf.hessians</code> documentation refers <code>colocate_gradients_with_ops</code> as an argument</bdi,01-Jun-20,DNXie,Not closed,Not closed
40050,Unclear shape dependency of <code>value</code> in  <code>tf.keras.backend.moving_average_update</code> documentation</bdi,01-Jun-20,DNXie,Not closed,Not closed
39981,tf.math.maximum example is written incorrectly.</bdi,29-May-20,abhinavsp0730,Not closed,Not closed
39962,TFLite Convert Python API Has Bad Code</bdi,28-May-20,ehennis,Not closed,Not closed
39925,Missing pre-processing for Mobilenet V2 model training</bdi,27-May-20,getsanjeevdubey,Not closed,Not closed
39788,Formula error display in RMSprop</bdi,22-May-20,MangelFdz,Not closed,Not closed
39733,Documentation of accepted datatypes for <code>validation_data</code> in keras.Model.fit is incorrect. </bdi,20-May-20,AdamHarries,Not closed,Not closed
39677,[TF 2.2 API docs] tf.keras.applications.resnet_v2.preprocess_input docs Returns paragraph is misleading</bdi,19-May-20,RaibekTussupbekov,Not closed,Not closed
39638,saved_model README.md uses deprecated code</bdi,18-May-20,edurenye,Not closed,Not closed
39615,tf.keras.Model docs missing get_weights method and metrics property</bdi,17-May-20,ThewBear,Not closed,Not closed
39520,tf.signal.rfft documentation refers to Tcomplex as an argument </bdi,13-May-20,arvoelke,Not closed,Not closed
39469,"Keras Conv3DTranspose inconsistency between padding, output_shape and output_padding</bdi",12-May-20,bhushan23,Not closed,Not closed
39454,Documentaton issue: tf.split num_or_size_splits parameter</bdi,12-May-20,bersbersbers,Not closed,Not closed
39305,control_dependencies with assert_equal</bdi,08-May-20,bhack,Not closed,Not closed
39160,Issue in google codelabs handwritten digit classifier code.</bdi,04-May-20,PatrickPrakash,Not closed,Not closed
39047,Docstring is not misleading.</bdi,30-Apr-20,andreiionutdamian,Not closed,Not closed
38946,Docs:  multi_worker_with_keras.ipynb shows init() instead of __init__()</bdi,27-Apr-20,robertlugg,Not closed,Not closed
38818,Documentation updates</bdi,22-Apr-20,fbordignon,Not closed,Not closed
38713,Online documentation missing python docs</bdi,20-Apr-20,phemmer,Not closed,Not closed
38564,Wrong function in example for tensor_diag</bdi,15-Apr-20,ngc92,Not closed,Not closed
38546,FTRL maths displayed messy</bdi,14-Apr-20,dirknbr,Not closed,Not closed
38523,https://www.tensorflow.org/api_docs/python/tf/saved_model/tag_constants is broken</bdi,14-Apr-20,rakeshmothukuru1,Not closed,Not closed
42798,[ru] Failing notebooks.</bdi,10-Apr-20,MarkDaoust,Not closed,Not closed
38318,New project inquiries</bdi,07-Apr-20,inoxstasy,Not closed,Not closed
38229,No examples showing how to generate Arduino files from source for Arduino IDE</bdi,04-Apr-20,nicseve,Not closed,Not closed
38199,"tf.keras.losses.categorical_hinge mentions [-1, 1] values while it works with one-hot-encoded tensor</bdi",03-Apr-20,FrankwaP,Not closed,Not closed
38067,Custom Loss: Order of arguments</bdi,31-Mar-20,Arktius,Not closed,Not closed
37996,Documentation corresponding to Arguments for Pre-Trained Models inside &lt;tf.keras.applications&gt; is missing</bdi,28-Mar-20,rakeshmothukuru1,Not closed,Not closed
42796,[zh-cn] Notebooks failing</bdi,27-Mar-20,MarkDaoust,Not closed,Not closed
37971,Broken link for tf.debugging.assert_same_float_dtype</bdi,27-Mar-20,theadityasam,Not closed,Not closed
37896,tf.keras.losses.cosine_similarity() is not a negative quantity</bdi,25-Mar-20,aikho,Not closed,Not closed
37859,tf.keras.losses.SparseCategoricalCrossentropy  Documentation Issue</bdi,24-Mar-20,UesugiErii,Not closed,Not closed
42794,[zh-cn] Remove references to tf-nightly-2.0-preview package</bdi,23-Mar-20,lamberta,Not closed,Not closed
42793,[ja] Remove references to tf-nightly-2.0-preview package</bdi,23-Mar-20,lamberta,Not closed,Not closed
37830,Replace VarHandleOp in Keras with VariableV2</bdi,23-Mar-20,summelon,Not closed,Not closed
37792,"Does Keras disable regularization (dropout, noise) layers when evaluating the validation data during Model.fit()?</bdi",22-Mar-20,mcourteaux,Not closed,Not closed
37708,applications.resnet.ResNet50 means ResNet50 or ResNet34</bdi,19-Mar-20,CNOCycle,Not closed,Not closed
37669,Scatter nd add has legacy docstrings from scatter nd</bdi,17-Mar-20,zaccharieramzi,Not closed,Not closed
37610,Generated docs for TF 2.1 and TF 2.2 are missing information present in the source docs</bdi,15-Mar-20,foxik,Not closed,Not closed
37607,Lots of links are Broken.</bdi,15-Mar-20,abhinavsp0730,Not closed,Not closed
37591,Example given in tf.image.rgb_to_yub is contadicting with the description.</bdi,14-Mar-20,ashutosh1919,Not closed,Not closed
37534,loading pre-trained resnet-50 for Object Detection Models on TensorFlow 2.0</bdi,12-Mar-20,Swann14444,Not closed,Not closed
37480,'third_party/tensorflow/compiler/aot:codegen_test' No such directory found</bdi,10-Mar-20,ayushmankumar7,Not closed,Not closed
37445,Document purpose for tf.keras.preprocessing module</bdi,09-Mar-20,mjul,Not closed,Not closed
37416,Precision at top_k does not compute the precision *on average* as stated in the API</bdi,07-Mar-20,LeechMuse,Not closed,Not closed
37379,"matplotlib.mlab has been removed, update code please</bdi",06-Mar-20,dynamor2019,Not closed,Not closed
37330,Improve the TFDS Getting Started Documentation </bdi,05-Mar-20,coreyching,Not closed,Not closed
37293,"TF2.x API Docs:  example codes in <code>tf.Module</code> raise error, and fix it</bdi",04-Mar-20,JiaRu2016,Not closed,Not closed
37240,How to deserialize from a dict with tf.keras.losses.get</bdi,02-Mar-20,princessofpillows,Not closed,Not closed
37239,tf.keras.experimental.WideDeepModel example has wrong input for constructor</bdi,02-Mar-20,tobillsung-doc,Not closed,Not closed
37228,tf.debugging.assert_shapes</bdi,02-Mar-20,ngc92,Not closed,Not closed
37187,guarantees for the logs argument in keras Callbacks</bdi,29-Feb-20,ngc92,Not closed,Not closed
37179,"Wrong name"" parameter default for Nadam optimizer</bdi""",29-Feb-20,princessofpillows,Not closed,Not closed
37168,<code>encode_png</code> function should be exported from <code>tf.io</code> module</bdi,28-Feb-20,vijayphoenix,Not closed,Not closed
37084,Reintroduced Typo in tf.keras.layers.Attention docs example</bdi,26-Feb-20,ulf1,Not closed,Not closed
37078,Documentation issue about tf.math.xlog1py (nightly-only APIs)</bdi,26-Feb-20,wookayin,Not closed,Not closed
37075,Documentation needs to upgrade to Python3</bdi,26-Feb-20,ayushmankumar7,Not closed,Not closed
37067,Usage Documentation Needed for tf.image.yuv_to_rgb</bdi,25-Feb-20,alexdwu13,Not closed,Not closed
37066,Model class API / predict / gradient update</bdi,25-Feb-20,johngrabner,Not closed,Not closed
37047,Request for documents of tf.compat.v1.profiler.Profiler</bdi,25-Feb-20,ProNoobLi,Not closed,Not closed
37021,There are no documentations related to decode_predictions() and preprocess_input() in any keras.applications</bdi,24-Feb-20,ashutosh1919,Not closed,Not closed
36987,multi head multi loss model with GradientTape</bdi,23-Feb-20,sezarxray,Not closed,Not closed
36936,Does passing 'training' flag to tf.keras.Sequential do anything?</bdi,20-Feb-20,milongo,Not closed,Not closed
36775,First example on the Tensor page results in an error</bdi,15-Feb-20,jraman,Not closed,Not closed
36757,Add more information about eager/graph context for Keras layer.call()</bdi,14-Feb-20,qlzh727,Not closed,Not closed
36734,AttributeError: 'BatchGen' object has no attribute 'shape'</bdi,13-Feb-20,etetteh,Not closed,Not closed
36730,tensorflow-gpu=2.1.0 AttributeError: module 'tensorflow' has no attribute 'placeholder'</bdi,13-Feb-20,PingYufeng,Not closed,Not closed
36708,First python project for class--- could someone please help me understand?- exif data using python </bdi,12-Feb-20,rcizzle94,Not closed,Not closed
36695,Function String Keras Attention Layer contains error/typo</bdi,12-Feb-20,tmensink,Not closed,Not closed
36693,Spelling of placeholder incorrect in line 53... :P</bdi,12-Feb-20,Spider8801,Not closed,Not closed
36599,NMT with attention</bdi,09-Feb-20,arshren,Not closed,Not closed
36547,Documentation error for tf.signal.frame </bdi,07-Feb-20,jmsmdy,Not closed,Not closed
36516,"Misleading documentation for hook parameters in estimators evaluate, predict, train methods</bdi",06-Feb-20,espinafre,Not closed,Not closed
36452,Broken outbound links from index pages for older TF API</bdi,04-Feb-20,lichili233,Not closed,Not closed
36449,Unclear documentation for implementing custom TensorFlow Keras optimizers</bdi,03-Feb-20,artemmavrin,Not closed,Not closed
36442,eager</bdi,03-Feb-20,mizzling,Not closed,Not closed
36375,AttributeError: 'Callback' object has no attribute 'validation_data'</bdi,31-Jan-20,nbro,Not closed,Not closed
36347,Official release of tensorflow==1.15.2 does not include GPU support</bdi,30-Jan-20,pavanky,Not closed,Not closed
36290,Not sufficient documentation on custom tf_lite classification model </bdi,28-Jan-20,jvishnuvardhan,Not closed,Not closed
36245,Malformatted doc page for SGD optimizer</bdi,27-Jan-20,renatobellotti,Not closed,Not closed
36237,Layer Names tf.keras.applications vs keras.applications not matching</bdi,27-Jan-20,MiWeiss,Not closed,Not closed
35989,tf.function stable doc typo issue</bdi,17-Jan-20,shizukanaskytree,Not closed,Not closed
35979,What's the difference between Keras applications and TF Model Garden?</bdi,17-Jan-20,haimat,Not closed,Not closed
35760,diag_part documentation outdated</bdi,11-Jan-20,n-gao,Not closed,Not closed
35745,Add a warning that tfds.load can not be used for own Datasets</bdi,10-Jan-20,PanCakeConnaisseur,Not closed,Not closed
35717,TensorFlow&lt;1.15 documentation redirects to GitHub</bdi,09-Jan-20,artemmavrin,Not closed,Not closed
35712,tf.distribute.experimental.TPUStrategy doesn't render Stable correctly</bdi,09-Jan-20,uchua,Not closed,Not closed
35667,assign() got an unexpected keyword argument 'validate_shape'</bdi,08-Jan-20,bersbersbers,Not closed,Not closed
35648,Malformed <code>TRAINABLE_ATTRIBUTE_NOTE</code> in batch normalization documentation</bdi,07-Jan-20,joe-antognini,Not closed,Not closed
35647,"tf.strings.lower and tf.strings.upper have TODO"" docstrings</bdi""",07-Jan-20,pbaranay,Not closed,Not closed
35628,How many items does tf.gradients return?</bdi,07-Jan-20,sharvil,Not closed,Not closed
35602,"Census tutorial documentation refers to Python 2, but code uses Python 3</bdi",06-Jan-20,fdb,Not closed,Not closed
35557,Line break missing in tf.keras.Model.fit() documentation</bdi,03-Jan-20,bersbersbers,Not closed,Not closed
35452,which is the correct type for debugging.assert_shape?</bdi,27-Dec-19,MokkeMeguru,Not closed,Not closed
35336,No clear document explains how to use pre-trained model</bdi,22-Dec-19,CNOCycle,Not closed,Not closed
35329,Error: Cannot convert 'auto' to EagerTensor of dtype float</bdi,21-Dec-19,yourtheron,Not closed,Not closed
35173,"I do not get the from the file or definition of gen_nn_ops"" in the place ""tensorflow.python.ops""</bdi""",17-Dec-19,chensongkui,Not closed,Not closed
35136,Typo on doc</bdi,15-Dec-19,guglielmocamporese,Not closed,Not closed
35085,[DOCS] Using <code>&gt;&gt;&gt;</code> in documentation is incorrectly formatted on website</bdi,13-Dec-19,Squadrick,Not closed,Not closed
35079,Add usage examples for tf.audio APIs</bdi,13-Dec-19,boronhub,Not closed,Not closed
35065,Bug in documentation of tf.while_loop.  parallel_iterations doesn't seem to affect performance.</bdi,12-Dec-19,charles19920528,Not closed,Not closed
35063,No example provided for using tf.nn.ctc_loss</bdi,12-Dec-19,gabolsgabs,Not closed,Not closed
34975,[TF 2.0 API Docs] <code>tf.keras.callbacks.LearningRateScheduler</code> (Very small update)</bdi,09-Dec-19,shun-lin,Not closed,Not closed
34965,Keras Callback log entry wrong documented</bdi,09-Dec-19,marcj,Not closed,Not closed
34927,Bad example in Sparse_Categorical_CrossEntropy</bdi,07-Dec-19,wzzhu,Not closed,Not closed
34895,SavedModel format for tf.estimator class in Tensorflow 2.0</bdi,06-Dec-19,jnsgrnborg,Not closed,Not closed
34890,tf.keras.models.Sequential does not support run_eagarly</bdi,06-Dec-19,Squadrick,Not closed,Not closed
34858,SparseCategoricalCrossEntropy example contains a mistake in terms of input</bdi,05-Dec-19,Antymon,Not closed,Not closed
34849,TF 2.0 - WARNING - dense_features is casting an input tensor from dtype float64 to the layer's dtype of float32</bdi,05-Dec-19,00krishna,Not closed,Not closed
34823,Profiler API and Service are not available</bdi,04-Dec-19,AlexisBRENON,Not closed,Not closed
34809,Typo in tf.keras.layers.Attention docs example</bdi,03-Dec-19,rabitt,Not closed,Not closed
34776,StackedRNNCells has an invalid example</bdi,03-Dec-19,r-barnes,Not closed,Not closed
34758,Docker Install instructions page is broken now that v2.0 is the latest image</bdi,02-Dec-19,PeteBlackerThe3rd,Not closed,Not closed
34721,Missing information: embedding_lookup automatically returns 0 for an out-of-vocab index</bdi,30-Nov-19,hoangcuong2011,Not closed,Not closed
34712,Please fix the example section of tf.constant_initialize</bdi,29-Nov-19,vinayapathak,Not closed,Not closed
34694,API Documentation - Incorrect formatting for tanh activation function</bdi,28-Nov-19,benchislett,Not closed,Not closed
34650,TFRecordsWriter default write mode?</bdi,27-Nov-19,qbeer,Not closed,Not closed
34600,Rewrite SECURITY.md with technical writing</bdi,26-Nov-19,bk202,Not closed,Not closed
34586,Documentation Error on nn.ctc_loss</bdi,25-Nov-19,leonardoaraujosantos,Not closed,Not closed
34577,tf.losses.cosine_similarity is a negative quantity between -1 and 0 </bdi,25-Nov-19,h2soong,Not closed,Not closed
34539,RNN document is not clear</bdi,23-Nov-19,zwenju,Not closed,Not closed
34512,Learning VM</bdi,22-Nov-19,mouse36872,Not closed,Not closed
34475,WHere is staging package in tf2?</bdi,21-Nov-19,YunchuZhang,Not closed,Not closed
34455,tf.ragged.stack breaks with rank-1 regular tensors</bdi,20-Nov-19,RunOrVeith,Not closed,Not closed
34355,"Error Massage: tensorflow.python.framework.errors_impl.UnknownError:  Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above.</bdi",17-Nov-19,acseckin,Not closed,Not closed
34340,Image preprocessing for transfer learning confusing</bdi,16-Nov-19,jsgonsette,Not closed,Not closed
34305,Behaviour of the loss function with sample_weights (keras)</bdi,15-Nov-19,Emilien-P,Not closed,Not closed
34283,copy paste error for value_embeddings = token_embedding(query_input)</bdi,14-Nov-19,le-horizon,Not closed,Not closed
34207,Error in the document of tf.keras.layers.Dense</bdi,12-Nov-19,changy12,Not closed,Not closed
34194,tf.size() has no documentation</bdi,12-Nov-19,danijar,Not closed,Not closed
34165,tf.keras.backend.sqrt(tf.constant(-1.0)) is 0 which is misleading and tf.sqrt(tf.constant(-1.0)) is 'nan' which is the way it should be.</bdi,11-Nov-19,gaddekumar,Not closed,Not closed
34099,Warning when using fit_generator</bdi,08-Nov-19,ThinerDAS,Not closed,Not closed
34071,[Bug] Wrong device placement for tf.constant with int32</bdi,07-Nov-19,VoVAllen,Not closed,Not closed
34005,Documentation unclear tf.batch_to_space</bdi,05-Nov-19,nikochiko,Not closed,Not closed
33989,module 'tensorflow' has no attribute 'AdamOptimizer'</bdi,04-Nov-19,jly36963,Not closed,Not closed
33974,assert_shapes broken code in documentation</bdi,04-Nov-19,bodin-e,Not closed,Not closed
33923,Insert Windows command line in the tutorials</bdi,01-Nov-19,raffaem,Not closed,Not closed
33922,tf.compat purpose may be misstated</bdi,01-Nov-19,raffaem,Not closed,Not closed
33915,Have a default value for monitor on Early Stopping callback?</bdi,01-Nov-19,ktfth,Not closed,Not closed
33906,Update sample session for build from source instruction docs</bdi,01-Nov-19,nikochiko,Not closed,Not closed
33856,Outdated doc for tf.keras.Model.save</bdi,30-Oct-19,durandg12,Not closed,Not closed
33839,tensorflow.linalg.norm document missing</bdi,30-Oct-19,fsx950223,Not closed,Not closed
33820,normalization in cosine similarity</bdi,29-Oct-19,ngc92,Not closed,Not closed
33807,TensorFlow pre-built package not available for download</bdi,29-Oct-19,rajeev-mirelz,Not closed,Not closed
33794,[TF 2.0 API Docs] tf.keras.layers.simpleRNN</bdi,28-Oct-19,brorro,Not closed,Not closed
33704,relu6</bdi,25-Oct-19,sashiomarda,Not closed,Not closed
33548,Getting error following steps in 'Building Standard TensorFlow ModelServer'</bdi,20-Oct-19,PeterMourfield,Not closed,Not closed
33528,Broken Link</bdi,19-Oct-19,soroush,Not closed,Not closed
33526,Error while trying to use tf.broadcast_weights </bdi,19-Oct-19,MeghnaNatraj,Not closed,Not closed
33502,please fix docs  converter = tf.lite.TFLiteConverter.from_keras_model(model) doesn't work</bdi,18-Oct-19,ZackPashkin,Not closed,Not closed
33454,[1.15]Discrepancy between documentation &amp; behaviour in tf.keras.Model.Save</bdi,17-Oct-19,fchouteau,Not closed,Not closed
33356,'tensorflow.python.keras.api._v1.keras.losses' has no attribute 'Reduction'</bdi,14-Oct-19,subhankar-ghosh,Not closed,Not closed
33354,fix documentation for tf.batch_to_space</bdi,14-Oct-19,vishalsubbiah,Not closed,Not closed
33345,keras optimizer <code>apply_gradients</code> arg <code>grads_and_vars</code> has wrong type in documentation</bdi,14-Oct-19,koenhelwegen,Not closed,Not closed
33340,Significant prediction slowdown after model.compile()</bdi,14-Oct-19,offchan42,Not closed,Not closed
33326,[TF 2.0 API Docs] tf.GradientTape</bdi,14-Oct-19,prabindh,Not closed,Not closed
33297,Surprising random seed behavior when using @tf.function</bdi,13-Oct-19,ageron,Not closed,Not closed
33242,CTC Beam Search Decoder in TensorFlow android</bdi,11-Oct-19,ranjeetchouhan,Not closed,Not closed
33198,"Tensorflow 2.0, feature_column and input_layer</bdi",10-Oct-19,aszalucha,Not closed,Not closed
33134,[TF 2.0 API Docs] tf.nn.softmax</bdi,08-Oct-19,prabindh,Not closed,Not closed
32990,Basic tutorial from Tensorflow 2.0 no longer runs on small machine</bdi,02-Oct-19,dawsonlp,Not closed,Not closed
32938,Documentation for streaming training data from disk.</bdi,01-Oct-19,invencode,Not closed,Not closed
32924,Malformed documentation for tf.strings.split</bdi,30-Sep-19,sharvil,Not closed,Not closed
32923,No documentation for tf.strings.reduce_join</bdi,30-Sep-19,sharvil,Not closed,Not closed
32915,Wrong links in API document and search results</bdi,30-Sep-19,canasta,Not closed,Not closed
32890,[TF 2.0 API Docs] tf.nn.batch_normalization</bdi,28-Sep-19,prabindh,Not closed,Not closed
32800,"Autograph capabilities and limitations"" link in AutoGraph doc is outdated</bdi""",25-Sep-19,yunabe,Not closed,Not closed
32704,nn</bdi,21-Sep-19,Ryan-cv,Not closed,Not closed
32684,Arguments formatting error in 1.15 keras.model.save docs + incorrect model format info/docstring mismatch?</bdi,20-Sep-19,jubjamie,Not closed,Not closed
32664,Broken link in https://www.tensorflow.org/guide/eager#top_of_page</bdi,19-Sep-19,rodrigob,Not closed,Not closed
32619,Missing output shape for inverse stft</bdi,18-Sep-19,risajef,Not closed,Not closed
32598,pix2pix tutorial is broken with tf2 rc</bdi,17-Sep-19,AoifeHughes,Not closed,Not closed
32528,"EstimatorSpec documentation removed from 1.14, 1.15</bdi",14-Sep-19,sharvil,Not closed,Not closed
32353,Issue with basic_classification tutorial</bdi,09-Sep-19,nfgallimore,Not closed,Not closed
32136,g3doc</bdi,01-Sep-19,JunhuaYe,Not closed,Not closed
32129,[TF.2.0 API Docs] tf.ones_like</bdi,31-Aug-19,xqiangx1991,Not closed,Not closed
32004,Python/C++ API interpreter example for hybrid models</bdi,27-Aug-19,DocDriven,Not closed,Not closed
32001,The title is the shared_embeddings module，but the document introduces shared_embedding_columns module</bdi,27-Aug-19,yecphaha,Not closed,Not closed
31903,Fix Tensorflow Lite Documentation</bdi,22-Aug-19,choochtech,Not closed,Not closed
31882,no attribute python</bdi,22-Aug-19,shenzhencheng,Not closed,Not closed
31881,no attribute python</bdi,22-Aug-19,shenzhencheng,Not closed,Not closed
31783,"how to check model restore ok, tf.train.Saver.restore()</bdi",20-Aug-19,zkailinzhang,Not closed,Not closed
31752,Getting 404 in XLA JIT page</bdi,19-Aug-19,take-cheeze,Not closed,Not closed
31705,The arguments and returns of tf.keras.layers.GRUCell.call() make no sense at all</bdi,16-Aug-19,princessofpillows,Not closed,Not closed
31698,Docs could mention that Dataset sharding is deterministic</bdi,16-Aug-19,anubh-v,Not closed,Not closed
31543,Interrelations of collections and scope counts are not clear from documentation</bdi,12-Aug-19,Uiuran,Not closed,Not closed
31440,Better documentation for Dataset.from_tensors/from_tensor_slices</bdi,08-Aug-19,karwa,Not closed,Not closed
31436,[TF 2.0 API Docs] tf.keras.backend.relu</bdi,08-Aug-19,mwinel,Not closed,Not closed
31415,tools.graph_transforms.TransformGraph has no docs or example of usage</bdi,07-Aug-19,Uiuran,Not closed,Not closed
31369,TensorflowLite Runtime Installation Doesn't provide Interpreter Package</bdi,06-Aug-19,vibhatha,Not closed,Not closed
31324,Passing a Variable as learning_rate to Adam optimizer does not work as expected</bdi,04-Aug-19,bjornsing,Not closed,Not closed
31279,[TF 2.0 API Docs] tf.tuple</bdi,02-Aug-19,johnkegz,Not closed,Not closed
31278,[TF.2.0 API Docs] tf.train.list_variables</bdi,02-Aug-19,KabohaJeanMark,Not closed,Not closed
31277,[TF 2.0 API Docs] tf.keras.backend.random_uniform</bdi,02-Aug-19,mwinel,Not closed,Not closed
31276,[TF 2.0 API Docs] tf.nn.log_softmax</bdi,02-Aug-19,MuhanguziDavid,Not closed,Not closed
31275,[TF 2.0 API Docs] tf.io.extract_jpeg</bdi,02-Aug-19,dannylwe,Not closed,Not closed
31241,Error when changing transformer hyperparameters</bdi,01-Aug-19,dawsoneliasen,Not closed,Not closed
31237,Incomplete description of LSTM.__call__() params</bdi,01-Aug-19,habernal,Not closed,Not closed
31202,Documentation is missing explanation of how to write custom loss functions for the keras api</bdi,31-Jul-19,esslushy,Not closed,Not closed
31004,tf.tensordot documentation describes non-existent <code>a_axes</code> and <code>b_axes</code> parameters</bdi,24-Jul-19,bashi-bazouk,Not closed,Not closed
30994,[TF 2.0 API Docs] tf.math.sqrt</bdi,24-Jul-19,stmugisha,Not closed,Not closed
30988,Relations/differences between Container and Scopes in Context Manager are not Clear</bdi,24-Jul-19,Uiuran,Not closed,Not closed
30874,"base64 strings contains   ""</bdi""",19-Jul-19,gison93,Not closed,Not closed
30846,mismatch in the description of BatchDot and TensorFlow's implementation. </bdi,18-Jul-19,zachmayer,Not closed,Not closed
30815,Feedback on Tensorflow 2.0 beta - documentation issues?</bdi,17-Jul-19,emrul,Not closed,Not closed
30798,slim</bdi,17-Jul-19,liudefu,Not closed,Not closed
30742,AttributeError: module 'tensorflow' has no attribute 'get_default_graph'</bdi,16-Jul-19,60pahn,Not closed,Not closed
30682,TFLite speech example failing to train with -output_representation='spec'or'mfcc' examples/lite/examples/speech_commands/ml</bdi,13-Jul-19,KauthamMurugan,Not closed,Not closed
30634,[Documentation][TF 1.14] Missing documentation for <code>batch_dims</code> in <code>tf.gather</code></bdi,12-Jul-19,MartinusR,Not closed,Not closed
30616,"[Documentation] In TF 1.13.1, tf.keras.experimental.export does not exist despite being documented</bdi",11-Jul-19,zmjjmz,Not closed,Not closed
30610,[r1.13.1] ImportError for  tf.keras.applications.imagenet_utils.preprocess_input</bdi,11-Jul-19,swghosh,Not closed,Not closed
30566,Missing Graph Editor Documentation</bdi,10-Jul-19,buck-ross,Not closed,Not closed
30492,Custom OP Documentation: <code>-D_GLIBCXX_USE_CXX11_ABI=0</code> not required anymore?</bdi,08-Jul-19,PhilJd,Not closed,Not closed
30445,[TF 2.0 API Docs] tf.image.image_gradients</bdi,06-Jul-19,imransalam,Not closed,Not closed
30437,"Remove global_step"" in usage example of CosineDecay and other related classes</bdi""",05-Jul-19,vsuryamurthy,Not closed,Not closed
30436,tf.data.Dataset.list_files return is deterministic order when shuffle=False?</bdi,05-Jul-19,zhjunqin,Not closed,Not closed
30419,类型问题</bdi,05-Jul-19,OkShen,Not closed,Not closed
30408,Poor documentation of tf.saved_model.Builder</bdi,04-Jul-19,twatzl,Not closed,Not closed
30319,TensorFlow does not work without tcmalloc in some cases (boosted trees).</bdi,02-Jul-19,daisylab,Not closed,Not closed
30316,The docs are unscrollable with JavaScript disabled</bdi,02-Jul-19,KOLANICH,Not closed,Not closed
30283,[TF 2.0] Minor changes to the 'Load images with tf.data' tutorial + fix image links</bdi,01-Jul-19,8bitmp3,Not closed,Not closed
30206,API link for r1.13 directs to r1.12 instead</bdi,27-Jun-19,micw523,Not closed,Not closed
30097,[TF 2.0 API Docs] tf.image.extract_glimpse</bdi,24-Jun-19,imransalam,Not closed,Not closed
30092,AttributeError: module 'tensorflow._api.v2.train' has no attribute 'FtrlOptimizer'</bdi,24-Jun-19,keurcien,Not closed,Not closed
30085,Default values not listed for hyperparameters in tfp ExponentiatedQuadratic class</bdi,24-Jun-19,alinaselega,Not closed,Not closed
30071,Classifying Handwritten Digits with TF.Learn - Machine Learning(jupyter notebook on docker)</bdi,24-Jun-19,shadabs22,Not closed,Not closed
30061,Method mentioned in documentation is missing: tf.keras.preprocessing.text.tokenizer_from_json</bdi,23-Jun-19,alexwal,Not closed,Not closed
30004,a writing error in tf.contrib.data.map_and_batch</bdi,20-Jun-19,xixiaoyao,Not closed,Not closed
30002,[TF 2.0 API Docs] <code>tf.keras.callbacks.LearningRateScheduler</code></bdi,20-Jun-19,8bitmp3,Not closed,Not closed
29958,[TF 2.0 API Docs] <code>tf.keras.callbacks</code> (sub)classes</bdi,19-Jun-19,8bitmp3,Not closed,Not closed
29955,Create a low-level python tutorial for tf 2</bdi,19-Jun-19,KOLANICH,Not closed,Not closed
29950,[TF 2.0/1.14 API Docs] <code>tf.keras.callbacks</code> - broken links to source</bdi,19-Jun-19,8bitmp3,Not closed,Not closed
29898,Need example of mixed precision in eager execution mode</bdi,17-Jun-19,edwardyehuang,Not closed,Not closed
29897,[TF 2.0 API Docs] tf.sets.difference</bdi,17-Jun-19,Rodriq,Not closed,Not closed
29890,[TF 2.0 API Docs] tf.keras.backend.count_params</bdi,17-Jun-19,lkmandy,Not closed,Not closed
29860,[TF 2.0 API Docs] tf.keras.layers.GRU</bdi,17-Jun-19,math-alpha,Not closed,Not closed
29859,[TF 2.0 API Docs] tf.errors.DeadlineExceededError</bdi,17-Jun-19,lkmandy,Not closed,Not closed
29858,[TF 2.0 API Docs] tf.dynamic_stitch</bdi,17-Jun-19,lkmandy,Not closed,Not closed
29855,[TF 2.0 API Docs] https://www.tensorflow.org/versions/r2.0/api_docs/python/tf/keras/layers/MaxPool1D</bdi,17-Jun-19,allenbangai,Not closed,Not closed
29853,[TF 2.0 API Docs] tf.div_no_nan</bdi,17-Jun-19,Wil2129,Not closed,Not closed
29852,[TF 2.0 API Docs] Documentation describes non existing symbol</bdi,17-Jun-19,xurror,Not closed,Not closed
29851,[TF 2.0 API Docs] tf.data.experimental.unbatch</bdi,17-Jun-19,lkmandy,Not closed,Not closed
29850,[TF 2.0 API Docs] tf.data.experimental.rejection_resample</bdi,17-Jun-19,lkmandy,Not closed,Not closed
29849,[TF 2.0 API Docs] tf.debugging.assert_type</bdi,17-Jun-19,Wil2129,Not closed,Not closed
29848,[TF 2.0 API Docs] tf.data.experimental.prefetch_to_device</bdi,17-Jun-19,Wil2129,Not closed,Not closed
29847,[TF 2.0 API Docs] tf.errors.ResourceExhaustedError</bdi,16-Jun-19,Wil2129,Not closed,Not closed
29846,[TF 2.0 API Docs] tf.errors.ResourceExhaustedError</bdi,16-Jun-19,Wil2129,Not closed,Not closed
29844,tf.image.decode_and_crop_jpeg parameter crop_window changed</bdi,16-Jun-19,alon1samuel,Not closed,Not closed
29835,GPU Support - Shared Object Exclusion </bdi,16-Jun-19,ghost,Not closed,Not closed
29822,[TF 2.0 API Docs] tf.estimator.SessionRunHook</bdi,15-Jun-19,percyashu,Not closed,Not closed
